,artist_name,artist_id,playlist_song,country,artist_uri
3,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,DILUVIO,PE,spotify:artist:1mcTU81TzQhprhouKaTkpq
4,Anuel AA,2R21vXR83lH98kGeO99Y66,Mas Rica Que Ayer,PE,spotify:artist:2R21vXR83lH98kGeO99Y66
5,Myke Towers,7iK8PXO48WeuP03g8YR51W,LALA,PE,spotify:artist:7iK8PXO48WeuP03g8YR51W
6,Shakira,0EmeFodog0BfCgMzAIvKQp,Monotonía,PE,spotify:artist:0EmeFodog0BfCgMzAIvKQp
7,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Hey Mor,PE,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY
8,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,BEACHY,PE,spotify:artist:4VMYDCV2IEDYJArk749S6m
9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Anti-Hero,PE,spotify:artist:06HL4z0CvFAxyc27GXpf02
10,Morat,5C4PDR4LnhZTbVnKWXuDKD,Salir Con Vida,PE,spotify:artist:5C4PDR4LnhZTbVnKWXuDKD
11,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Shakira: Bzrp Music Sessions, Vol. 53",PE,spotify:artist:716NhGYqD1jl2wI1Qkgq36
12,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Dientes,PE,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
13,Quevedo,52iwsT98xCoGgiGntTiR7K,Columbia,PE,spotify:artist:52iwsT98xCoGgiGntTiR7K
14,Duki,1bAftSH8umNcGZ0uyV7LMg,RoCKSTAR 2.0,PE,spotify:artist:1bAftSH8umNcGZ0uyV7LMg
15,Grupo 5,0l8RtvcBMjeOqfgRSVo2d6,Amor Vuelve - (En Vivo),PE,spotify:artist:0l8RtvcBMjeOqfgRSVo2d6
16,Mora,0Q8NcsJwoCbZOHHW63su5S,DONDE SE APRENDE A QUERER?,PE,spotify:artist:0Q8NcsJwoCbZOHHW63su5S
17,Maluma,1r4hJ1h58CWwUQe3MxPuau,Según Quién,PE,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
18,Marshmello,64KEffDW9EtZ1y2vBYgq8T,El Merengue,PE,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
19,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You (with Ariana Grande) - Remix,PE,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
20,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,Coco Chanel,PE,spotify:artist:5XJDexmWFLWOkjOEjOVX3e
21,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,VAGABUNDO,PE,spotify:artist:07YUOmWljBTXwIseAUd9TW
22,Rels B,2IMZYfNi21MGqxopj9fWx8,lo que hay x aquí,PE,spotify:artist:2IMZYfNi21MGqxopj9fWx8
23,BTS,3Nrfpe0tUJi4K4DXYWgMUX,Take Two,PE,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
24,Jhayco,6nVcHLIgY5pE2YCl8ubca1,Holanda,PE,spotify:artist:6nVcHLIgY5pE2YCl8ubca1
25,Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,CORAZÓN VACÍO,PE,spotify:artist:1DxLCyH42yaHKGK3cl5bvG
26,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,Ella Baila Sola,PE,spotify:artist:0XeEobZplHxzM9QzFQWLiR
27,KAROL G,790FomKkXshlbRYZFtlgla,X SI VOLVEMOS,PE,spotify:artist:790FomKkXshlbRYZFtlgla
28,Taiu,5szJHKg5xeUlQ9pTqzdpic,Rara Vez,PE,spotify:artist:5szJHKg5xeUlQ9pTqzdpic
29,Arcángel,4SsVbpTthjScTS7U2hmr1X,La Jumpa,PE,spotify:artist:4SsVbpTthjScTS7U2hmr1X
30,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,un x100to,PE,spotify:artist:6XkjpgcEsYab502Vr1bBeW
31,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Plan A,PE,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z
32,TINI,7vXDAI8JwjW531ouMGbfcp,Cupido,PE,spotify:artist:7vXDAI8JwjW531ouMGbfcp
33,Young Miko,3qsKSpcV3ncke3hw52JSMB,Lisa,PE,spotify:artist:3qsKSpcV3ncke3hw52JSMB
34,Big One,2OhUNb01gLwygOizYvTm0e,Un Finde | CROSSOVER #2,PE,spotify:artist:2OhUNb01gLwygOizYvTm0e
35,Armonia 10,2MLibj8EtYKluK594J3D9Y,Serpiente,PE,spotify:artist:2MLibj8EtYKluK594J3D9Y
36,Agua Marina,5ZAR5Usb11xw4KENbEE8uZ,Tu Amor Fue una Mentira,PE,spotify:artist:5ZAR5Usb11xw4KENbEE8uZ
37,Sech,77ziqFxp5gaInVrF2lj4ht,Cafe Malibú,PE,spotify:artist:77ziqFxp5gaInVrF2lj4ht
38,Don Omar,33ScadVnbm2X8kkUqOkC6Z,Podemos Repetirlo,PE,spotify:artist:33ScadVnbm2X8kkUqOkC6Z
39,Chencho Corleone,37230BxxYs9ksS7OkZw3IU,Un Cigarrillo,PE,spotify:artist:37230BxxYs9ksS7OkZw3IU
40,Reik,0vR2qb8m9WHeZ5ByCbimq2,El Correcto,PE,spotify:artist:0vR2qb8m9WHeZ5ByCbimq2
41,Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1,Bemaste,PE,spotify:artist:5Y3MV9DZ0d87NnVm56qSY1
42,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Fuera del mercado,PE,spotify:artist:5H1nN1SzW0qNeUEZvuXjAj
43,Yandel,0eHQ9o50hj6ZDNBt6Ys1sD,Yandel 150,PE,spotify:artist:0eHQ9o50hj6ZDNBt6Ys1sD
44,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,Besos Moja2,PE,spotify:artist:1wZtkThiXbVNtj6hee6dz9
45,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,DÉJALO EN VISTO,PE,spotify:artist:4bw2Am3p9ji3mYsXNXtQcd
46,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,La Incondicional,PE,spotify:artist:2nszmSgqreHSdJA3zWPyrW
47,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Esta Vida,PE,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
48,Camilo,28gNT5KBp7IjEOQoevXf9N,Pegao,PE,spotify:artist:28gNT5KBp7IjEOQoevXf9N
