song_id,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3XqM8hLCEYlbnFjoWwqtFv,Angel Numbers / Ten Toes,0.406,0.5,4,-8.452,0,0.0501,0.192,0.0,0.175,0.0905,157.984,306847,4
3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974,4
46IZ0fSY2mpAiktS3KOqds,Easy On Me,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4
4OSBTYWVwsQhGLF9NHvIbR,Rolling in the Deep,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,228093,4
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
3gdPwk2wyOXNRnTA1KXnEr,Wish You The Best,0.676,0.461,3,-3.59,1,0.0304,0.555,0.0,0.0951,0.466,107.95,210880,4
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,194787,4
7DSAEUvxU8FajXtRloy8M0,Flowers,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600,4
1daDRI9ahBonbWD8YcxOIB,Angels Like You,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,196453,4
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,204093,4
2O3MQ6H3gjrIWDcpeTrikT,"Santa, Can’t You Hear Me",0.495,0.896,11,-2.381,1,0.0331,0.005,0.0,0.353,0.462,146.04,242645,4
4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,0.575,0.5,1,-7.594,0,0.0707,0.227,0.0,0.335,0.506,67.033,232857,4
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
5BbdKBZO0TH0GhfxUfyhL9,Freestyle,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,162053,4
577YBGuskWkVDCxZrLRB4v,Pure Cocaine,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024,4
0SlpFHdk4UHBDzCEoXzy14,Stop Crying Your Heart Out,0.331,0.558,2,-5.506,1,0.031,0.0689,1.96e-06,0.124,0.0985,150.19,303120,4
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
4qmG24ebshLXtKu9HIShBP,Lace It (with Eminem & benny blanco),0.773,0.597,2,-7.138,1,0.309,0.194,0.0,0.22,0.305,160.101,217527,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,226653,4
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,230480,4
5PyDJG7SQRgWXefgexqIge,Agora Hills,0.755,0.687,8,-6.247,0,0.101,0.183,0.000177,0.125,0.381,123.01,265360,4
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,4
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,4
4tqcoej1zPvwePZCzuAjJd,Wet Dreamz,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,4
5wtSei6pJpDEB1iKqPHhfU,Houdini,0.739,0.79,9,-4.87,0,0.0654,0.00574,0.00073,0.085,0.865,116.987,185918,4
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,176579,4
6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735,4
1fDFHXcykq4iw8Gg7s5hG9,About You,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,326491,4
4m0q0xQ2BNl9SCAGKyfiGZ,Somebody Else,0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,347526,4
73jVPicY2G9YHmzgjk69ae,Robbers,0.621,0.692,4,-6.858,1,0.0291,0.000363,1.75e-05,0.335,0.381,99.806,254510,4
4RoKNqyZ9622tcAeNPNv5k,City Boys,0.808,0.634,2,-6.764,0,0.172,0.0851,0.0,0.127,0.569,100.03,153347,4
5YbPxJwPfrj7uswNwoF1pJ,Last Last,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,172342,4
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4
7eT64Q8X2RsgMm4lqtWK4n,Now And Then,0.438,0.547,4,-7.895,0,0.027,0.217,6.5e-05,0.314,0.4,87.188,248640,4
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4
7xapw9Oy21WpfEcib2ErSA,Mistletoe,0.657,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,182947,4
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
6I3mqTwhRpn34SLVafSH7G,Ghost,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
5mHdCZtVyb4DcJw8799hZp,Escapism.,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,272373,4
3XCpS4k8WqNnCpcDOSRRuz,Escapism. - Sped Up,0.435,0.768,6,-5.352,0,0.201,0.0857,0.000231,0.0918,0.378,107.588,239888,4
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,237200,4
2VxeLyX666F8uXCJ0dZF8B,Shallow,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,4
