song_id,song_name,artist_name,artist_id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_code
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,2019-12-13,89,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0,aa
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,6KImCVD70vtIoJWnq6nGn3,2017-05-12,85,0.516,0.595,5.0,-4.63,1.0,0.0313,0.0275,0.0,0.109,0.222,119.972,340707.0,4.0,bb
2FDTHlrBguDzQkp7PVj16Q,Sprinter,Central Cee,5H4yInM5zmHqpKIoMNAx4r,2023-06-01,90,0.916,0.583,1.0,-8.067,1.0,0.241,0.186,0.0,0.0798,0.661,141.095,226383.0,4.0,cc
100fbGocyqbBPQkTDchi2g,TOO MUCH,Central Cee,5H4yInM5zmHqpKIoMNAx4r,2023-11-10,76,0.753,0.719,10.0,-5.607,0.0,0.199,0.264,0.0,0.154,0.474,94.977,203895.0,4.0,aa
3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,5H4yInM5zmHqpKIoMNAx4r,2022-07-21,84,0.911,0.573,6.0,-7.43,1.0,0.288,0.38,0.0,0.403,0.972,140.04,97393.0,4.0,bb
59NraMJsLaMCVtwXTSia8i,Prada,D-Block Europe,5VadK1havLhK1OpKYsXv9y,2023-08-11,94,0.638,0.717,8.0,-5.804,1.0,0.0375,0.001,1.79e-06,0.113,0.422,141.904,132359.0,4.0,cc
337kcYVjYXdLBItCw9ry3b,Overseas,D-Block Europe,5VadK1havLhK1OpKYsXv9y,2021-11-19,73,0.838,0.623,8.0,-7.524,0.0,0.354,0.532,0.0,0.307,0.811,135.935,222155.0,4.0,aa
2kQ9udZ0v3H8PFSVmbY1Kq,Darling,D-Block Europe,5VadK1havLhK1OpKYsXv9y,2019-09-27,72,,,,,,,,,,,,,,bb
0TwBtDAWpkpM3srywFVOV5,Crazy In Love (feat. Jay-Z),Beyoncé,6vWDO969PvNqNYHIOW5v0m,2003-03-10,81,0.664,0.758,2.0,-6.583,0.0,0.21,0.00238,0.0,0.0598,0.701,99.259,235933.0,4.0,cc
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,6vWDO969PvNqNYHIOW5v0m,2022-07-29,85,0.78,0.689,7.0,-5.668,1.0,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,225389.0,4.0,aa
2MfOcbtgz2yTsiznFmVZUN,Halo,Beyoncé,6vWDO969PvNqNYHIOW5v0m,2008-11-12,71,0.508,0.72,11.0,-5.908,0.0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640.0,4.0,bb
2Y4ImmYsxc4bclzGlmvlzo,Water - Remix,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2023-12-01,70,0.739,0.749,6.0,-3.318,1.0,0.0746,0.12,0.0,0.149,0.505,117.03,200256.0,4.0,cc
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2023-07-28,92,0.927,0.619,5.0,-4.441,0.0,0.0539,0.0186,0.0,0.104,0.817,117.995,211582.0,4.0,aa
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2023-07-28,91,0.569,0.882,3.0,-2.777,0.0,0.06,0.0316,0.0,0.142,0.201,148.038,191701.0,4.0,bb
0U10zFw4GlBacOy9VDGfGL,We Found Love,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2011-11-19,82,0.735,0.766,1.0,-4.485,1.0,0.0383,0.025,0.00138,0.108,0.6,127.985,215227.0,4.0,cc
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,7CajNmpbOovFoOoasH2HaY,2018-04-06,87,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847.0,4.0,aa
22dUzMFttcR3uU17NcOAIv,Desire (with Sam Smith),Calvin Harris,7CajNmpbOovFoOoasH2HaY,2023-07-28,86,0.587,0.924,11.0,-5.433,0.0,0.0457,0.0311,0.0171,0.23,0.509,140.009,179162.0,4.0,bb
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2022-08-26,93,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238.0,4.0,cc
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2023-04-06,88,0.602,0.91,7.0,-3.404,1.0,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018.0,4.0,aa
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2012-12-07,85,0.604,0.787,0.0,-3.674,0.0,0.103,0.0679,0.15,0.127,0.301,126.062,245040.0,4.0,bb
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,246dkjvS1zLTtiykXe5h60,2019-09-06,88,0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,157560.0,4.0,cc
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,2019-09-06,89,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0,aa
5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,246dkjvS1zLTtiykXe5h60,2023-04-14,87,0.498,0.897,2.0,-4.907,1.0,0.045,0.00136,0.0,0.118,0.373,169.902,184013.0,4.0,bb
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2023-07-13,94,0.444,0.0911,0.0,-17.665,1.0,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370.0,4.0,cc
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2018-04-19,91,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,4.0,aa
