,artist,song_name,song_id,release_date,release_date_precision,popularity
47,Travis Scott,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,2023-07-28,day,91
48,Calvin Harris,We Found Love,0U10zFw4GlBacOy9VDGfGL,2011-11-19,day,82
49,Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,2018-04-06,day,87
50,Calvin Harris,Desire (with Sam Smith),22dUzMFttcR3uU17NcOAIv,2023-07-28,day,86
51,David Guetta,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,2022-08-26,day,93
52,David Guetta,Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,2023-04-06,day,88
53,David Guetta,Titanium (feat. Sia),0TDLuuLlV54CkRRUOahJb4,2012-12-07,day,85
54,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,2019-09-06,day,88
55,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,2019-09-06,day,89
56,Post Malone,Chemical,5w40ZYhbBMAlHYNDaVJIUu,2023-04-14,day,87
57,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,2023-07-13,day,94
58,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2018-04-19,day,91
59,Billie Eilish,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,2017-12-22,day,85
60,21 Savage,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,2022-12-02,day,92
61,21 Savage,redrum,52eIcoLUM25zbQupAZYoFh,2024-01-12,day,89
62,21 Savage,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,2022-06-17,day,89
63,Olivia Rodrigo,vampire,1kuGVB7EU95pJObxwvfwKS,2023-09-08,day,95
64,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,17cia5k4BpGVlyEfqrFH50,2023-11-17,day,87
65,Olivia Rodrigo,bad idea right?,3IX0yuEVvDbnqUwMBB3ouC,2023-09-08,day,89
66,Future,Too Many Nights (feat. Don Toliver & with Future),2Hh3ETdQKrmSI3QS0hme7g,2022-12-02,day,90
67,Future,Superhero (Heroes & Villains) [with Future & Chris Brown],0vjeOZ3Ft5jvAi9SBFJm1j,2022-12-02,day,89
68,Future,TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,2023-07-28,day,87
69,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,2000-07-10,day,92
70,Coldplay,Viva La Vida,3Fcfwhm8oRrBvBZ8KGhtea,2008-06-19,day,76
71,Coldplay,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,2017-04-07,day,88
72,Chris Brown,Superhero (Heroes & Villains) [with Future & Chris Brown],0vjeOZ3Ft5jvAi9SBFJm1j,2022-12-02,day,89
73,Chris Brown,Under The Influence,5IgjP7X4th6nMNDh4akUHb,2019-10-04,day,88
74,Chris Brown,Angel Numbers / Ten Toes,3XqM8hLCEYlbnFjoWwqtFv,2023-11-10,day,87
