,playlist_position,artist_name,artist_id,country,artist_uri,location,artist_genre1,artist_genre2,artist_genre3
217,18,Mellow & Sleazy,5MJ5f1XKD9yu7aWfG8OGjz,ZA,spotify:artist:5MJ5f1XKD9yu7aWfG8OGjz,,amapiano,barcadi,
218,19,Lil Baby,5f7VJjfbwm532GiveGC0ZK,ZA,spotify:artist:5f7VJjfbwm532GiveGC0ZK,"Atlanta, Georgia, U.S.",atl hip hop,atl trap,rap
219,20,Nasty C,2gzWmhOZhDN6gXL49JW9qj,ZA,spotify:artist:2gzWmhOZhDN6gXL49JW9qj,,south african hip hop,south african trap,
220,21,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,ZA,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,"Halifax,West Yorkshire, England",pop,singer-songwriter pop,uk pop
221,22,AKA,1QIghPIrXQQ22G1yNtAKFX,ZA,spotify:artist:1QIghPIrXQQ22G1yNtAKFX,"Cape Town, South Africa",kasi rap,south african hip hop,
222,23,Summer Walker,57LYzLEk2LcFghVwuWbcuS,ZA,spotify:artist:57LYzLEk2LcFghVwuWbcuS,"Atlanta, Georgia, U.S.",r&b,rap,
223,24,Tyler ICU,2oIQCM7hRZI9tS5b9S8rj4,ZA,spotify:artist:2oIQCM7hRZI9tS5b9S8rj4,"Tembisa, Gauteng, South Africa",amapiano,,
224,25,Eminem,7dGJo4pcD2V6oG8kP0tJRR,ZA,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,"Detroit,Michigan, U.S.",detroit hip hop,hip hop,rap
225,26,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,ZA,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,"Columbia, Maryland, U.S.",r&b,rap,
226,27,Burna Boy,3wcj11K77LjEY1PkEazffa,ZA,spotify:artist:3wcj11K77LjEY1PkEazffa,"Port Harcourt, Rivers State, Nigeria",afrobeats,azontobeats,dancehall
227,28,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,ZA,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,"New York City, U.S.",hip pop,pop,queens hip hop
228,29,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,ZA,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,"Los Angeles, California, U.S.",art pop,pop,
229,30,Joyous Celebration,6jG7VTyXJjdrVP4jNjDX9W,ZA,spotify:artist:6jG7VTyXJjdrVP4jNjDX9W,,haitian gospel,naija worship,sda a cappella
230,31,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,ZA,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,"Homewood, Illinois, U.S.",chicago rap,melodic rap,rap
231,32,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,ZA,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,"College Park, Georgia, U.S.",atl hip hop,melodic rap,rap
232,33,Aymos,3xXIOO328Ieh0PWOcxivjL,ZA,spotify:artist:3xXIOO328Ieh0PWOcxivjL,South Africa,amapiano,,
233,34,Post Malone,246dkjvS1zLTtiykXe5h60,ZA,spotify:artist:246dkjvS1zLTtiykXe5h60,"Los Angeles,California, U.S.",dfw rap,melodic rap,pop
234,35,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,ZA,spotify:artist:1uNFoZAHBGtllmzznpCI3s,"London, Ontario, Canada",canadian pop,pop,
235,36,A-Reece,5TirRF3azWV5OpyufcDCFP,ZA,spotify:artist:5TirRF3azWV5OpyufcDCFP,"Pretoria,Gauteng, South Africa",south african hip hop,south african trap,
236,37,Inkabi Zezwe,3L21ifeFAXwNN2ui6NyG0k,ZA,spotify:artist:3L21ifeFAXwNN2ui6NyG0k,,,,
237,38,Khalid,6LuN9FCkKOj5PcnpouEgny,ZA,spotify:artist:6LuN9FCkKOj5PcnpouEgny,"El Paso, Texas, U.S.",pop,pop r&b,
238,39,Murumba Pitch,3cd7plsjSmDdQ0oHESYHC4,ZA,spotify:artist:3cd7plsjSmDdQ0oHESYHC4,,amapiano,,
239,40,Spirit Of Praise,4WN1JAeUnvBiLteTeFSwUa,ZA,spotify:artist:4WN1JAeUnvBiLteTeFSwUa,,south african gospel,,
240,41,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,ZA,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,"Boca Raton, Florida, U.S.",pop,,
241,42,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,ZA,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,"Los Angeles, California, U.S.",dance pop,pop,
242,43,Mas Musiq,3fdFRgy3GmfiWQqeKbmFS8,ZA,spotify:artist:3fdFRgy3GmfiWQqeKbmFS8,"Tembisa, South Africa",amapiano,,
243,44,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,ZA,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,"Paris, France",big room,dance pop,edm
244,45,Young Stunna,6WQFTzqYHmh8Ph2X0L0QLQ,ZA,spotify:artist:6WQFTzqYHmh8Ph2X0L0QLQ,South Africa,amapiano,,
245,46,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,ZA,spotify:artist:15UsOTVnJzReFVN1VCnxy4,"Broward County, Florida, U.S.",emo rap,miami hip hop,rap
246,47,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,ZA,spotify:artist:53XhwfbYqKCa1cC15pYq2q,"Las Vegas, Nevada, U.S.",modern rock,pop,rock
247,48,2 Chainz,17lzZA2AlOHwCwFALHttmp,ZA,spotify:artist:17lzZA2AlOHwCwFALHttmp,"College Park, Georgia, U.S.",atl hip hop,hip hop,pop rap
248,49,Young Thug,50co4Is1HCEo8bhOyUWKpn,ZA,spotify:artist:50co4Is1HCEo8bhOyUWKpn,"Atlanta, Georgia, U.S.",atl hip hop,atl trap,gangster rap
249,50,Daliwonga,0oW137oXCLwA5b4uYRxvIn,ZA,spotify:artist:0oW137oXCLwA5b4uYRxvIn,,amapiano,,
250,1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,CA,spotify:artist:06HL4z0CvFAxyc27GXpf02,"Nashville, Tennessee, US",pop,,
251,2,Drake,3TVXtAsR1Inumwj472S9r4,CA,spotify:artist:3TVXtAsR1Inumwj472S9r4,"Toronto,Ontario, Canada",canadian hip hop,canadian pop,hip hop
252,3,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,CA,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,"Sneedville, Tennessee, U.S.",contemporary country,,
253,4,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,CA,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,"Toronto,Ontario, Canada",canadian contemporary r&b,canadian pop,pop
254,5,21 Savage,1URnnhqYAYcrqrcwql10ft,CA,spotify:artist:1URnnhqYAYcrqrcwql10ft,"Atlanta,Georgia, U.S.",atl hip hop,hip hop,rap
255,6,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,CA,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,"Houston, Texas, U.S.",hip hop,rap,slap house
256,7,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,CA,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,"St. Louis,Missouri, U.S.",rap,,
257,8,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,CA,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,"Chicago,Illinois, U.S.",chicago rap,hip hop,rap
258,9,SZA,7tYKF4w9nC0nq9CsPZTHyP,CA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,"Maplewood, New Jersey, U.S.",pop,r&b,rap
259,10,Luke Combs,718COspgdWOnwOFpJHRZHS,CA,spotify:artist:718COspgdWOnwOFpJHRZHS,"Huntersville, North Carolina, U.S.",contemporary country,country,
260,11,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,CA,spotify:artist:40ZNYROS4zLfyyBSs2PGe2,"Oologah, Oklahoma, U.S.",classic oklahoma country,,
261,12,Eminem,7dGJo4pcD2V6oG8kP0tJRR,CA,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,"Detroit,Michigan, U.S.",detroit hip hop,hip hop,rap
262,13,Future,1RyvyyTE3xzB2ZywiAwp0i,CA,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,"Atlanta, Georgia, U.S.",atl hip hop,hip hop,rap
263,14,Post Malone,246dkjvS1zLTtiykXe5h60,CA,spotify:artist:246dkjvS1zLTtiykXe5h60,"Los Angeles,California, U.S.",dfw rap,melodic rap,pop
264,15,Lil Baby,5f7VJjfbwm532GiveGC0ZK,CA,spotify:artist:5f7VJjfbwm532GiveGC0ZK,"Atlanta, Georgia, U.S.",atl hip hop,atl trap,rap
265,16,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,CA,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,"Halifax,West Yorkshire, England",pop,singer-songwriter pop,uk pop
266,17,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,CA,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,"Saint Michael, Barbados",barbadian pop,pop,urban contemporary
267,18,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,CA,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"Compton, California, U.S.",conscious hip hop,hip hop,rap
268,19,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,CA,spotify:artist:00FQb4jTyendYWaN8pK0wa,"New York City, U.S.",art pop,pop,
269,20,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,CA,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,"Homewood, Illinois, U.S.",chicago rap,melodic rap,rap
270,21,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,CA,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,"Fayetteville, North Carolina, U.S.",conscious hip hop,hip hop,north carolina hip hop
271,22,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,CA,spotify:artist:1uNFoZAHBGtllmzznpCI3s,"London, Ontario, Canada",canadian pop,pop,
272,23,Bad Bunny,4q3ewBCX7sLwd24euuV69X,CA,spotify:artist:4q3ewBCX7sLwd24euuV69X,"Vega Baja, Puerto Rico",reggaeton,trap latino,urbano latino
